Chr	Start	End	Genome
A01	31521523	31945149	CFv4
A01	31948433	33052353	CFv4
A01	33056352	33093849	CFv4
A01	33096795	33212450	CFv4
A01	33212602	33398611	CFv4
A01	33399076	33415053	CFv4
A01	33416086	33478339	CFv4
A01	33481786	33537230	CFv4
A01	33540456	33566389	CFv4
A01	33569762	34131220	CFv4
A01	34172211	34366156	CFv4
A01	34371181	34723054	CFv4
A01	34726487	34852915	CFv4
A01	34853706	34909357	CFv4
A01	34910185	35307913	CFv4
A01	35312679	35400060	CFv4
A01	35406593	35450770	CFv4
A01	35451015	35465198	CFv4
A01	35476896	35487115	CFv4
A01	35496553	35640090	CFv4
A01	35640391	35767322	CFv4
A01	35769846	36263153	CFv4
A01	36277108	36400736	CFv4
A01	36402134	36510745	CFv4
A01	36523916	36575068	CFv4
A01	36614127	36644682	CFv4
A01	36644891	36905984	CFv4
A01	36908331	37218710	CFv4
A01	37220018	37247889	CFv4
A01	37248492	37259548	CFv4
A01	37264324	37667667	CFv4
A01	37667958	37687606	CFv4
A01	37694916	37705016	CFv4
A01	37705077	37720191	CFv4
A01	37721001	37831434	CFv4
A01	37833150	37855478	CFv4
A01	37859680	37892829	CFv4
A01	37894179	37904708	CFv4
A01	37913503	37940845	CFv4
A01	37948680	37964060	CFv4
A01	37966783	38010054	CFv4
A01	38013317	38023800	CFv4
A01	38033882	38062270	CFv4
A01	38063242	38257752	CFv4
A01	38259700	38281741	CFv4
A01	38285810	38297320	CFv4
A01	38301621	38363849	CFv4
A01	38364596	38403495	CFv4
A01	38407489	38440524	CFv4
A01	38452166	38556639	CFv4
A01	38558253	38837725	CFv4
A01	38845212	38860702	CFv4
A01	38880300	38912987	CFv4
A01	38918478	39050060	CFv4
A01	39051490	39178327	CFv4
A01	39189122	39225347	CFv4
A01	39230738	39263281	CFv4
A01	39267619	39293986	CFv4
A01	39299654	39319666	CFv4
A01	39357728	39377810	CFv4
A01	39381206	39425109	CFv4
A01	39462486	39475639	CFv4
A01	39490651	39525008	CFv4
A01	39525018	39535234	CFv4
A01	39535661	39554308	CFv4
A01	39554709	39601560	CFv4
A01	39603070	39695315	CFv4
A01	39695454	39723530	CFv4
A01	39735605	39888752	CFv4
A01	39891317	39928319	CFv4
A01	39929119	40219101	CFv4
A01	40219502	40434266	CFv4
A01	40440248	40478969	CFv4
A01	40478998	40701272	CFv4
A01	40713469	40723507	CFv4
A01	40733904	40768947	CFv4
A01	40790038	40806648	CFv4
A01	40806749	40960091	CFv4
A01	40965479	41142245	CFv4
A01	41146134	41369042	CFv4
A01	41371363	41419904	CFv4
A01	41420164	41516973	CFv4
A01	41520864	41748835	CFv4
A01	41749134	41890235	CFv4
A01	41892411	41922353	CFv4
A01	41941577	42050225	CFv4
A01	42056999	42114237	CFv4
A01	42116053	42295577	CFv4
A01	42306024	42545170	CFv4
A01	42576925	42688484	CFv4
A01	42689076	43052898	CFv4
A02	1843	33793	CFv4
A02	40200	89504	CFv4
A02	100737	473273	CFv4
A02	484113	572940	CFv4
A02	575674	587692	CFv4
A02	600573	675966	CFv4
A02	715472	770837	CFv4
A02	773410	856887	CFv4
A02	857157	1394582	CFv4
A02	1394874	1637044	CFv4
A02	1643431	2007832	CFv4
A02	2019466	2332532	CFv4
A02	2358542	2931033	CFv4
A02	2938935	3260638	CFv4
A02	3261249	3328072	CFv4
A02	3340976	3374446	CFv4
A02	3379770	3687679	CFv4
A02	3692318	4125830	CFv4
A02	4127177	4140364	CFv4
A02	4140367	4227301	CFv4
A02	4232182	4353810	CFv4
A02	4359280	4550228	CFv4
A02	4568259	4584429	CFv4
A02	4585021	5206896	CFv4
A02	5210496	5238725	CFv4
A02	5256368	5275005	CFv4
A02	5288354	5415880	CFv4
A02	5416798	5430899	CFv4
A02	5435580	5537436	CFv4
A02	5546466	6328681	CFv4
A02	6329040	6353727	CFv4
A02	6354933	6694368	CFv4
A02	6696500	6727380	CFv4
A02	6731978	7337819	CFv4
A02	7338039	7419518	CFv4
A02	7431011	9194610	CFv4
A02	9218237	10368083	CFv4
A02	10376399	10427644	CFv4
A02	10430979	10512715	CFv4
A02	10520995	10606017	CFv4
A02	10614741	11287314	CFv4
A02	11287715	11340685	CFv4
A02	11344552	11421680	CFv4
A02	11423319	11458448	CFv4
A02	11460366	11724177	CFv4
A02	11725042	11764352	CFv4
A02	11794598	11809890	CFv4
A02	11836150	11847987	CFv4
A02	11848272	12133015	CFv4
A02	12133274	12150060	CFv4
A02	12150746	12183200	CFv4
A02	12197476	12208485	CFv4
A02	12210276	12307209	CFv4
A02	12313218	12363924	CFv4
A02	12367177	12619796	CFv4
A02	12624333	12651502	CFv4
A02	12682657	12704089	CFv4
A02	12729488	12742532	CFv4
A02	12744023	12758942	CFv4
A02	12768061	13521147	CFv4
A02	13526623	13545080	CFv4
A02	13545871	13562810	CFv4
A02	13567186	13600345	CFv4
A02	13600607	13789084	CFv4
A02	13789240	14237925	CFv4
A02	14241821	14799893	CFv4
A02	14804694	16366120	CFv4
A02	16366177	16971821	CFv4
A02	16977215	17737240	CFv4
A02	17749158	17763805	CFv4
A02	17772039	17794161	CFv4
A02	17794859	17903773	CFv4
A02	17906446	18991849	CFv4
A02	18991851	19239514	CFv4
A02	19274595	19294644	CFv4
A02	19297692	19328130	CFv4
A02	19395232	19423799	CFv4
A02	19570164	19669179	CFv4
A02	19689221	19710165	CFv4
A02	19788582	19799522	CFv4
A02	19804112	19904924	CFv4
A02	19914860	19931016	CFv4
A02	19931044	19941415	CFv4
A02	19951059	19967014	CFv4
A02	19969649	20053766	CFv4
A02	20059246	20087655	CFv4
A02	20091421	20106845	CFv4
A02	20239004	20428951	CFv4
A02	20438259	20457947	CFv4
A02	20489873	20503203	CFv4
A02	20512704	20527287	CFv4
A02	20542259	20569464	CFv4
A02	20636251	20755246	CFv4
A02	20770629	20857650	CFv4
A02	20962519	20992636	CFv4
A02	21011022	21033066	CFv4
A02	21055288	21097427	CFv4
A02	21111104	21124119	CFv4
A02	21151693	21171210	CFv4
A02	21174661	21191002	CFv4
A02	21200475	21284773	CFv4
A02	21291677	21303799	CFv4
A02	21436680	21446943	CFv4
A02	21461111	21495374	CFv4
A02	21506019	21642438	CFv4
A02	21657211	21687103	CFv4
A02	21719242	21752505	CFv4
A02	21784757	21801159	CFv4
A02	21821641	21839841	CFv4
A02	21854629	21868854	CFv4
A02	21875717	21909511	CFv4
A02	21926111	21943506	CFv4
A02	21957403	21972948	CFv4
A02	21977004	22047197	CFv4
A02	22092317	22102948	CFv4
A02	22124580	22148988	CFv4
A02	22150180	22209567	CFv4
A02	22253143	22277725	CFv4
A02	22390401	22402136	CFv4
A02	22461051	22473604	CFv4
A02	22505469	22547380	CFv4
A02	22568083	22638791	CFv4
A02	22658936	22671953	CFv4
A02	22738382	22749909	CFv4
A02	22789372	22801822	CFv4
A02	22813970	22825312	CFv4
A02	22856111	22908822	CFv4
A02	22976248	23007342	CFv4
A02	23058408	23071967	CFv4
A02	23136310	23175237	CFv4
A02	23256342	23316906	CFv4
A02	23318261	23332478	CFv4
A02	23383191	23395376	CFv4
A02	23395871	23444979	CFv4
A02	23542369	23555561	CFv4
A02	23557591	23643625	CFv4
A02	23677896	23691213	CFv4
A02	23719766	23747856	CFv4
A02	23764173	23819281	CFv4
A02	23840692	23851329	CFv4
A02	23851393	23887509	CFv4
A02	23905321	23925481	CFv4
A02	24050025	24061981	CFv4
A02	24088972	24159082	CFv4
A02	24169414	24185202	CFv4
A02	24217558	24230471	CFv4
A02	24238562	24258632	CFv4
A02	24645627	24665799	CFv4
A02	24703585	24718951	CFv4
A02	24752757	24765002	CFv4
A02	24771170	24795980	CFv4
A02	24836302	25037978	CFv4
A02	25045676	25062721	CFv4
A02	25064800	25120711	CFv4
A02	25127575	25166875	CFv4
A02	25184309	27438460	CFv4
A02	27438461	27524127	CFv4
A02	27524136	28113395	CFv4
A02	28117484	28227258	CFv4
A02	28231901	29026599	CFv4
A02	29029125	29100241	CFv4
A02	29100535	29355757	CFv4
A02	29363309	29802113	CFv4
A02	29803703	29913705	CFv4
A02	29919309	30786483	CFv4
A02	30791963	30914746	CFv4
A02	30923662	31454848	CFv4
A02	31479838	31489871	CFv4
A02	31510355	31527155	CFv4
A02	31553066	31567839	CFv4
A02	31570365	32045683	CFv4
A02	32046297	32071107	CFv4
A02	32072279	32086641	CFv4
A02	32086644	32273091	CFv4
A02	32274542	32649825	CFv4
A02	32650391	32968469	CFv4
A02	32975652	33240298	CFv4
A02	33241766	33326180	CFv4
A02	33330148	33559806	CFv4
A02	33564804	33598119	CFv4
A02	33599451	33834612	CFv4
A02	33835908	33910740	CFv4
A02	33910969	33970854	CFv4
A02	33970876	34043816	CFv4
A02	34047348	34083780	CFv4
A02	34092847	34222019	CFv4
A02	34229137	34402968	CFv4
A02	34403178	34535418	CFv4
A02	34537281	34909300	CFv4
A02	34916302	35240334	CFv4
A02	35247478	35477772	CFv4
A02	35477982	35531615	CFv4
A02	35536710	35632050	CFv4
A02	35633040	35675955	CFv4
A02	35676175	35695249	CFv4
A02	35698715	35865258	CFv4
A02	35865619	35950529	CFv4
A02	35955967	35977681	CFv4
A02	35977837	36430266	CFv4
A02	36430991	36935391	CFv4
A02	36937914	36968213	CFv4
A02	36969268	37474217	CFv4
A03	29068	321175	CFv4
A03	322096	638192	CFv4
A03	639113	681370	CFv4
A03	683895	770630	CFv4
A03	772970	899178	CFv4
A03	903456	1062468	CFv4
A03	1073642	1384356	CFv4
A03	1384574	1803405	CFv4
A03	1805930	2003787	CFv4
A03	2004205	2074314	CFv4
A03	2078826	2107692	CFv4
A03	2109957	2183296	CFv4
A03	2194081	2221912	CFv4
A03	2222609	2290193	CFv4
A03	2290381	2430391	CFv4
A03	2432650	2841968	CFv4
A03	2855858	2878929	CFv4
A03	2880046	3375220	CFv4
A03	3375258	3429062	CFv4
A03	3429475	3469547	CFv4
A03	3471851	3554610	CFv4
A03	3557904	3596518	CFv4
A03	3599722	3637222	CFv4
A03	3637225	3694477	CFv4
A03	3699881	3727970	CFv4
A03	3729203	3806307	CFv4
A03	3811663	3824478	CFv4
A03	3825847	3837533	CFv4
A03	3841060	3853110	CFv4
A03	3855021	3886984	CFv4
A03	3889833	3926056	CFv4
A03	3927444	4003621	CFv4
A03	4004343	4025944	CFv4
A03	4037402	4047838	CFv4
A03	4048221	4134931	CFv4
A03	4138337	4290864	CFv4
A03	4291570	4310798	CFv4
A03	4319396	4332553	CFv4
A03	4337093	4381476	CFv4
A03	4381660	4478906	CFv4
A03	4481705	4526243	CFv4
A03	4530035	4632762	CFv4
A03	4633166	4670859	CFv4
A03	4681259	4702669	CFv4
A03	4707545	4841475	CFv4
A03	4841620	4903278	CFv4
A03	4920037	4979809	CFv4
A03	4987044	5094655	CFv4
A03	5120125	5134396	CFv4
A03	5134397	5369706	CFv4
A03	5384122	5412144	CFv4
A03	5448569	5696530	CFv4
A03	5704587	5772519	CFv4
A03	5773179	5936356	CFv4
A03	5942242	6007363	CFv4
A03	6010433	6023126	CFv4
A03	6032030	6667575	CFv4
A03	6669422	6935171	CFv4
A03	6936643	6953795	CFv4
A03	6960068	7314636	CFv4
A03	7314694	7330449	CFv4
A03	7373764	7419923	CFv4
A03	7431091	7677084	CFv4
A03	7682067	7874360	CFv4
A03	7875024	7996958	CFv4
A03	7998346	8337780	CFv4
A03	8337941	8475209	CFv4
A03	8475720	8913869	CFv4
A03	8919266	9501071	CFv4
A03	9509858	10381590	CFv4
A03	10386714	10650765	CFv4
A03	10655982	10680983	CFv4
A03	10683126	10705765	CFv4
A03	10705768	10722578	CFv4
A03	10724300	10930102	CFv4
A03	10930830	11337668	CFv4
A03	11350230	11823128	CFv4
A03	11828199	11885622	CFv4
A03	11886229	11896261	CFv4
A03	11898142	12212405	CFv4
A03	12213207	12405595	CFv4
A03	12409637	12534956	CFv4
A03	12546809	13092488	CFv4
A03	13092686	13806758	CFv4
A03	13810784	13824401	CFv4
A03	13826501	13867735	CFv4
A03	13868249	14041006	CFv4
A03	14045164	14150459	CFv4
A03	14154846	14302344	CFv4
A03	14302577	14529490	CFv4
A03	14548450	14702998	CFv4
A03	14704036	14766043	CFv4
A03	14770317	15114450	CFv4
A03	15122554	15188794	CFv4
A03	15190462	15902512	CFv4
A03	15903143	16147123	CFv4
A03	16148708	16377359	CFv4
A03	16377805	16653227	CFv4
A03	16653551	16710565	CFv4
A03	16729849	16846204	CFv4
A03	16846367	17696691	CFv4
A03	17697237	17911638	CFv4
A03	17912386	18002422	CFv4
A03	18009682	18064503	CFv4
A03	18065434	18727625	CFv4
A03	18732503	18766790	CFv4
A03	18777750	18867946	CFv4
A03	18871829	18964800	CFv4
A03	18965563	19403018	CFv4
A03	19403578	19507457	CFv4
A03	19507642	19521551	CFv4
A03	19524420	19572452	CFv4
A03	19576934	19610916	CFv4
A03	19638085	19648970	CFv4
A03	19653529	19994661	CFv4
A03	19994958	20117723	CFv4
A03	20117868	20137092	CFv4
A03	20141067	20169133	CFv4
A03	20174167	20436482	CFv4
A03	20455424	20486603	CFv4
A03	20486905	20780211	CFv4
A03	20784479	20938822	CFv4
A03	20943070	20956005	CFv4
A03	20958955	21017025	CFv4
A03	21019611	21070439	CFv4
A03	21074627	21154882	CFv4
A03	21156474	21310890	CFv4
A03	21319539	21331239	CFv4
A03	21348256	21358696	CFv4
A03	21379678	21771769	CFv4
A03	21772733	22176370	CFv4
A03	22186519	22199939	CFv4
A03	22200745	22220412	CFv4
A03	22221399	22504202	CFv4
A03	22505949	22728372	CFv4
A03	22731989	22834017	CFv4
A03	22834035	23011152	CFv4
A03	23011684	23023265	CFv4
A03	23027321	23090841	CFv4
A03	23095189	23149079	CFv4
A03	23149704	23299475	CFv4
A03	23307703	23507814	CFv4
A03	23512797	23673910	CFv4
A03	23675791	23851140	CFv4
A03	23851515	23911087	CFv4
A03	23914015	24082563	CFv4
A03	24086902	24637790	CFv4
A03	24638055	24680196	CFv4
A03	24683394	24782380	CFv4
A03	24786459	24892127	CFv4
A03	24892204	24932528	CFv4
A03	24933180	24970712	CFv4
A03	24970870	25279561	CFv4
A03	25285191	26475030	CFv4
A03	26475437	26545638	CFv4
A03	26549280	26717049	CFv4
A03	26718793	26921839	CFv4
A03	26924658	26937822	CFv4
A03	26940128	26961971	CFv4
A03	26969235	26987606	CFv4
A03	26993266	27241287	CFv4
A03	27241506	27629512	CFv4
A03	27633697	27729539	CFv4
A03	27749825	27809573	CFv4
A03	27809577	27867762	CFv4
A03	27896352	28267804	CFv4
A03	28267821	28790567	CFv4
A03	28792278	28845789	CFv4
A03	28853467	28952828	CFv4
A03	28961190	28972377	CFv4
A03	28975763	28993247	CFv4
A03	29005545	29039241	CFv4
A03	29039515	29053910	CFv4
A03	29054055	29064907	CFv4
A03	29065434	29185275	CFv4
A03	29185283	29260829	CFv4
A03	29276662	29337931	CFv4
A03	29348642	29583521	CFv4
A03	29583632	29633234	CFv4
A03	29635696	29693934	CFv4
A03	29697170	29738776	CFv4
A03	29748780	29905340	CFv4
A03	29914596	30020482	CFv4
A03	30023106	30161089	CFv4
A03	30166219	30211049	CFv4
A03	30211659	30231170	CFv4
A03	30232707	30250520	CFv4
A03	30257391	30281008	CFv4
A03	30301521	30731902	CFv4
A03	30771083	30784184	CFv4
A03	30784185	30855560	CFv4
A03	30858564	30882182	CFv4
A03	30882531	30999801	CFv4
A03	31065930	31080714	CFv4
A03	31088374	31104955	CFv4
A03	31105971	31119262	CFv4
A03	31119388	32138335	CFv4
A03	32138952	32267202	CFv4
A03	32270275	32908777	CFv4
A03	32912300	33908233	CFv4
A03	33908277	34024678	CFv4
A03	34060718	34080663	CFv4
A03	34090381	34133678	CFv4
A03	34150059	34188346	CFv4
A03	34231716	34246273	CFv4
A03	34247186	34367808	CFv4
A03	34369239	34408675	CFv4
A03	34421368	34449495	CFv4
A03	34454532	34476721	CFv4
A03	34488981	34507440	CFv4
A03	34515937	34660149	CFv4
A03	34660273	34711969	CFv4
A03	34712356	35096732	CFv4
A03	35101735	35144916	CFv4
A03	35153234	35166798	CFv4
A03	35185070	35196247	CFv4
A03	35277355	35304208	CFv4
A03	35304722	35447332	CFv4
A03	35505982	35535725	CFv4
A03	35535836	36008797	CFv4
A03	36016864	36378969	CFv4
A03	36387722	36546336	CFv4
A03	36553312	36666511	CFv4
A03	36670236	36681750	CFv4
A03	36681797	36733901	CFv4
A03	36733902	36767068	CFv4
A03	36779921	37479316	CFv4
A03	37479891	37661195	CFv4
A03	37661947	37729236	CFv4
A03	37737493	37791940	CFv4
A03	37792010	37898324	CFv4
A03	37943152	41339149	CFv4
A03	41342264	41373010	CFv4
A03	41373962	41744196	CFv4
A03	41771791	41795458	CFv4
A03	41847631	41881822	CFv4
A03	41888696	42226567	CFv4
A04	252	239502	CFv4
A04	239661	285754	CFv4
A04	294230	334368	CFv4
A04	336309	367913	CFv4
A04	373656	601744	CFv4
A04	605579	617600	CFv4
A04	619781	694474	CFv4
A04	700588	720935	CFv4
A04	722129	1056752	CFv4
A04	1066770	1114401	CFv4
A04	1119586	1443092	CFv4
A04	1443603	1766465	CFv4
A04	1769346	1906363	CFv4
A04	1910904	1926239	CFv4
A04	1927509	2091456	CFv4
A04	2091633	2315442	CFv4
A04	2315664	2353498	CFv4
A04	2353904	2508810	CFv4
A04	2518064	2603057	CFv4
A04	2603087	3507956	CFv4
A04	3509268	3716535	CFv4
A04	3717350	3825693	CFv4
A04	3827360	3841394	CFv4
A04	3841658	3851678	CFv4
A04	3852385	4130358	CFv4
A04	4134177	4850875	CFv4
A04	4851782	6827204	CFv4
A04	6834862	7081369	CFv4
A04	7084314	7110977	CFv4
A04	7111153	7138629	CFv4
A04	7194249	7249231	CFv4
A04	7301555	7336416	CFv4
A04	7346810	7418664	CFv4
A04	7419045	7436762	CFv4
A04	7454239	7584362	CFv4
A04	7585549	7676519	CFv4
A04	7687243	7706110	CFv4
A04	7788662	7800375	CFv4
A04	7806304	7817267	CFv4
A04	7860280	7874526	CFv4
A04	7877723	7888542	CFv4
A04	7895781	7909291	CFv4
A04	7921303	7944404	CFv4
A04	7993068	8011779	CFv4
A04	8018123	8034405	CFv4
A04	8050078	8081440	CFv4
A04	8085387	8135396	CFv4
A04	8136724	8152444	CFv4
A04	8214526	8250819	CFv4
A04	8306413	8318102	CFv4
A04	8325734	8336351	CFv4
A04	8340293	8372179	CFv4
A04	8388424	8405534	CFv4
A04	8409195	8429884	CFv4
A04	8551611	8562180	CFv4
A04	8586294	8622711	CFv4
A04	8630695	8656826	CFv4
A04	8725724	8735986	CFv4
A04	9003450	9025713	CFv4
A04	9093095	9117530	CFv4
A04	9232672	9277010	CFv4
A04	9305204	9315716	CFv4
A04	9360746	9419445	CFv4
A04	9662624	9672814	CFv4
A04	9695534	9711868	CFv4
A04	9765071	9776601	CFv4
A04	9860233	9875021	CFv4
A04	9911312	9937383	CFv4
A04	9966707	9976906	CFv4
A04	9990569	10008843	CFv4
A04	10020124	10071413	CFv4
A04	10095861	10129517	CFv4
A04	10190663	10214368	CFv4
A04	10215936	10268621	CFv4
A04	10541099	10634738	CFv4
A04	10652630	10664689	CFv4
A04	10682906	10697056	CFv4
A04	10983862	11000694	CFv4
A04	11010864	11035755	CFv4
A04	11035756	11059771	CFv4
A04	11081950	11106059	CFv4
A04	11135439	11145668	CFv4
A04	11150664	11164517	CFv4
A04	11186457	11205664	CFv4
A04	11239483	11254397	CFv4
A04	11255294	11281772	CFv4
A04	11291380	11306934	CFv4
A04	11321671	11331867	CFv4
A04	11354393	11401208	CFv4
A04	11420409	11458446	CFv4
A04	11458514	11512765	CFv4
A04	11572679	11586544	CFv4
A04	11646513	11680145	CFv4
A04	11691981	11810480	CFv4
A04	11811423	11838181	CFv4
A04	11850435	11896606	CFv4
A04	11899824	11924216	CFv4
A04	11932631	11993334	CFv4
A04	12046946	12064667	CFv4
A04	12076053	12086267	CFv4
A04	12145539	12170631	CFv4
A04	12172451	12198088	CFv4
A04	12304736	12316704	CFv4
A04	12324597	12334741	CFv4
A04	12342156	12363612	CFv4
A04	12396842	12431197	CFv4
A04	12460248	12471184	CFv4
A04	12734024	12747046	CFv4
A04	12817133	12829830	CFv4
A04	12830421	12842751	CFv4
A04	12883319	12896022	CFv4
A04	12898098	12920877	CFv4
A04	13008628	13049446	CFv4
A04	13078196	13113157	CFv4
A04	13167113	13289590	CFv4
A04	13296901	13314482	CFv4
A04	13314536	13325588	CFv4
A04	13361099	13375918	CFv4
A04	13378918	13493688	CFv4
A04	13495870	13524913	CFv4
A04	13525308	13536349	CFv4
A04	13546602	13724803	CFv4
A04	13729207	13746910	CFv4
A04	13749833	13767958	CFv4
A04	13767965	13824912	CFv4
A04	13831632	13871285	CFv4
A04	13907686	13976517	CFv4
A04	13985445	15060139	CFv4
A04	15097162	15191862	CFv4
A04	15196758	15284744	CFv4
A04	15289683	16043760	CFv4
A04	16086027	16573269	CFv4
A04	16580534	17024709	CFv4
A04	17026658	17623351	CFv4
A04	17629612	18013650	CFv4
A04	18013679	18431969	CFv4
A04	18435806	18961914	CFv4
A04	18961916	19201521	CFv4
A04	19201642	19546375	CFv4
A04	19548410	21336862	CFv4
A04	21337549	21481829	CFv4
A04	21481832	21501549	CFv4
A04	21503295	21528402	CFv4
A04	21529982	22219673	CFv4
A04	22219959	22520167	CFv4
A04	22521635	22648988	CFv4
A04	22651255	22687308	CFv4
A04	22698013	22745685	CFv4
A04	22749664	23141652	CFv4
A04	23167259	23375298	CFv4
A04	23376743	23411130	CFv4
A04	23415781	24388467	CFv4
A04	24417551	24432916	CFv4
A04	24436200	24451918	CFv4
A04	24458194	24561632	CFv4
A04	24571883	24709803	CFv4
A04	24739062	24930968	CFv4
A04	24949313	25174569	CFv4
A04	25184403	25204482	CFv4
A04	25212771	25225912	CFv4
A04	25226937	25242659	CFv4
A04	25245368	25265391	CFv4
A04	25265831	26562867	CFv4
A04	26563850	26600213	CFv4
A04	26604246	26858111	CFv4
A04	26863519	27042994	CFv4
A04	27043308	27073441	CFv4
A04	27079991	27308576	CFv4
A04	27312139	27336672	CFv4
A04	27338009	27458715	CFv4
A04	27459081	27831272	CFv4
A04	27834049	27878818	CFv4
A04	27880108	27899914	CFv4
A04	27904501	27985720	CFv4
A04	28043624	28157069	CFv4
A04	28161118	28406442	CFv4
A04	28407130	28439311	CFv4
A04	28445628	29174485	CFv4
A04	29174540	29323337	CFv4
